event_id,session_id,start_time_s,end_time_s,label,confidence,peak_time_s,duration_s,severity,source
sample_10hz_pred_0001,sample_10hz,1.0,1.5,Clutch Release,0.778354,1.3,0.5,moderate,streaming_rule_v2
sample_10hz_pred_0002,sample_10hz,4.0,4.5,Harsh Acceleration,1.0,4.0,0.5,strong,streaming_rule_v2
sample_10hz_pred_0003,sample_10hz,8.5,9.1,Harsh Braking,1.0,8.5,0.6,strong,streaming_rule_v2
sample_10hz_pred_0004,sample_10hz,10.5,10.6,Pothole/Bump,1.0,10.5,0.1,strong,streaming_rule_v2
sample_10hz_pred_0005,sample_10hz,14.5,14.9,Clutch Release,0.723648,14.6,0.4,moderate,streaming_rule_v2
sample_10hz_pred_0006,sample_10hz,19.3,19.7,Harsh Acceleration,0.77275,19.3,0.4,moderate,streaming_rule_v2
sample_10hz_pred_0007,sample_10hz,22.0,22.5,Harsh Braking,1.0,22.0,0.5,strong,streaming_rule_v2
sample_10hz_pred_0008,sample_10hz,23.8,23.9,Pothole/Bump,0.861388,23.9,0.1,strong,streaming_rule_v2
