event_id,session_id,start_time_s,end_time_s,label,confidence,peak_time_s,duration_s,severity,source
full_50hz_pred_0057,full_50hz,1135.42,1138.0,Harsh Acceleration,1.0,1135.52,2.58,strong,streaming_rule_v2
full_50hz_pred_0058,full_50hz,1159.22,1159.78,Harsh Braking,1.0,1159.28,0.56,strong,streaming_rule_v2
full_50hz_pred_0059,full_50hz,1162.98,1163.56,Harsh Braking,1.0,1163.06,0.58,strong,streaming_rule_v2
full_50hz_pred_0060,full_50hz,1171.9,1172.18,Pothole/Bump,1.0,1172.12,0.28,strong,streaming_rule_v2
full_50hz_pred_0061,full_50hz,1186.1,1186.58,Pothole/Bump,0.86931,1186.48,0.48,strong,streaming_rule_v2
full_50hz_pred_0062,full_50hz,1243.04,1244.42,Harsh Braking,1.0,1243.1,1.38,strong,streaming_rule_v2
full_50hz_pred_0063,full_50hz,1253.08,1253.72,Harsh Acceleration,1.0,1253.2,0.64,strong,streaming_rule_v2
full_50hz_pred_0064,full_50hz,1354.34,1355.08,Clutch Release,1.0,1354.74,0.74,strong,streaming_rule_v2
full_50hz_pred_0065,full_50hz,1356.1,1358.74,Harsh Acceleration,1.0,1356.18,2.64,strong,streaming_rule_v2
full_50hz_pred_0066,full_50hz,1383.1,1383.38,Pothole/Bump,1.0,1383.3,0.28,strong,streaming_rule_v2
full_50hz_pred_0067,full_50hz,1397.66,1398.04,Harsh Acceleration,1.0,1397.76,0.38,strong,streaming_rule_v2
full_50hz_pred_0068,full_50hz,1445.98,1446.44,Pothole/Bump,0.794213,1446.42,0.46,moderate,streaming_rule_v2
full_50hz_pred_0069,full_50hz,1452.28,1452.82,Clutch Release,0.863752,1452.56,0.54,strong,streaming_rule_v2
full_50hz_pred_0070,full_50hz,1453.58,1453.88,Pothole/Bump,1.0,1453.8,0.3,strong,streaming_rule_v2
full_50hz_pred_0071,full_50hz,1468.8,1469.24,Pothole/Bump,0.805036,1469.18,0.44,moderate,streaming_rule_v2
full_50hz_pred_0072,full_50hz,1496.3,1497.0,Harsh Braking,1.0,1496.44,0.7,strong,streaming_rule_v2
full_50hz_pred_0073,full_50hz,1497.62,1497.72,Pothole/Bump,0.749397,1497.62,0.1,moderate,streaming_rule_v2
full_50hz_pred_0074,full_50hz,1504.94,1506.98,Pothole/Bump,1.0,1505.0,2.04,strong,streaming_rule_v2
full_50hz_pred_0075,full_50hz,1507.74,1508.38,Harsh Acceleration,1.0,1507.9,0.64,strong,streaming_rule_v2
full_50hz_pred_0076,full_50hz,1509.0,1509.38,Harsh Braking,1.0,1509.0,0.38,strong,streaming_rule_v2
full_50hz_pred_0077,full_50hz,1520.56,1521.16,Harsh Braking,1.0,1520.7,0.6,strong,streaming_rule_v2
full_50hz_pred_0078,full_50hz,1532.78,1533.62,Pothole/Bump,0.812855,1532.82,0.84,moderate,streaming_rule_v2
full_50hz_pred_0079,full_50hz,1588.12,1588.44,Pothole/Bump,0.984522,1588.18,0.32,strong,streaming_rule_v2
full_50hz_pred_0080,full_50hz,1602.58,1602.9,Pothole/Bump,1.0,1602.66,0.32,strong,streaming_rule_v2
full_50hz_pred_0081,full_50hz,1638.4,1638.98,Harsh Acceleration,1.0,1638.54,0.58,strong,streaming_rule_v2
full_50hz_pred_0082,full_50hz,1640.02,1640.76,Harsh Braking,1.0,1640.18,0.74,strong,streaming_rule_v2
full_50hz_pred_0083,full_50hz,1650.54,1651.06,Harsh Braking,1.0,1650.6,0.52,strong,streaming_rule_v2
full_50hz_pred_0084,full_50hz,1670.76,1670.96,Pothole/Bump,0.620436,1670.76,0.2,weak,streaming_rule_v2
full_50hz_pred_0085,full_50hz,1696.38,1696.78,Harsh Braking,1.0,1696.48,0.4,strong,streaming_rule_v2
full_50hz_pred_0086,full_50hz,1765.94,1767.48,Harsh Acceleration,1.0,1766.06,1.54,strong,streaming_rule_v2
full_50hz_pred_0087,full_50hz,1776.5,1777.04,Harsh Braking,1.0,1776.58,0.54,strong,streaming_rule_v2
full_50hz_pred_0088,full_50hz,1796.56,1797.26,Clutch Release,0.87342,1797.02,0.7,strong,streaming_rule_v2
full_50hz_pred_0089,full_50hz,1799.24,1799.9,Pothole/Bump,0.997472,1799.28,0.66,strong,streaming_rule_v2
